1,Millenia,00:00:00
2,The Last Phoenix,00:02:50
3,Anamorphic,00:06:25
4,Vintage,00:10:15
5,Cloud Surfer,00:14:05
6,New Dawn,00:17:14
7,Luminous,00:20:21
8,Iridium,00:23:59
9,Stargazing,00:27:48
10,Athena,00:31:32
11,Symbolic,00:35:03
12,Sunshine,00:38:47
13,Sakura,00:43:04
14,Lexicon,00:46:58
15,Light Years,00:50:58
16,Neon Glow,00:55:25
17,Quantum Leap,00:59:42
18,Aerial,01:03:14
19,Atmos,01:07:20
20,Delta City,01:12:38
21,Solo,01:16:38
22,1000 Years,01:20:54
23,White Tiger,01:25:02
24,Icarus,01:29:25
25,Calling You,01:33:41
26,Vice,01:37:34
27,Impala,01:41:46
28,Data,01:45:19
29,Absolution,01:49:19
